GroundTruth     1attempt        2attempt        3attempt        4attempt        5attempt        6attempt        7attempt         
2               2               w               q               3               1               e               a                
4               4               5               r               e               3               f               t                
t               t               y               6               5               g               h               r                
h               h               g               b               n               y               t               Key.space        
Key.space       j               m               n               h               k               u               Key.space        
o               o               l               ;               k               i               p               0                
f               f               r               g               c               v               t               d                
Key.space       r               t               5               f               g               4               6                
Key.shift       Key.shift       a               z               q               1               w               x                
M               m               n               Key.space       ,               j               k               h                
a               a               q               w               z               Key.shift       s               2                
y               y               h               t               g               6               u               j                
,               ,               m               .               k               l               j               /                
Key.space       Key.space       b               n               v               h               m               g                
1               1               q               2               w               a               3               e                
8               8               9               i               u               7               o               0                
6               6               y               7               t               5               u               h                
3               3               e               4               w               2               s               d                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.shift       Key.shift       a               z               q               w               1               x                
M               m               ,               n               Key.space       j               k               h                
o               o               9               0               i               l               p               ;                
n               n               Key.space       m               h               j               b               ,                
d               d               s               e               c               f               x               r                
a               a               z               w               s               q               x               e                
y               y               6               t               7               h               u               g                
,               ,               m               k               .               l               j               i                
Key.space       Key.space       n               b               m               h               v               g                
Key.shift       Key.shift       a               q               z               1               w               x                
J               j               m               n               h               k               u               i                
u               u               i               7               8               j               y               k                
l               l               .               ;               o               k               ,               p                
y               y               h               t               g               6               u               j                
Key.space       Key.shift_r     /               .               Key.enter       '               ;               ,                
1               1               q               2               a               w               3               e                
Key.enter       Key.enter       '               Key.shift_r     Key.backspace   =               ;               /                
Key.shift       Key.shift       a               q               z               1               w               2                
J               u               j               i               k               y               7               h                
u               u               7               8               i               j               y               6                
n               n               Key.space       h               b               m               j               g                
e               e               s               w               d               3               x               r                
Key.space       m               ,               n               Key.space       k               j               .                
6               6               y               7               5               t               u               h                
,               ,               .               m               k               l               j               o                
Key.space       /               .               Key.shift_r     ,               '               l               ;                
1               1               q               2               a               w               3               Key.shift        
9               9               8               0               o               i               u               7                
4               4               3               e               5               r               d               f                
4               4               3               e               r               5               d               f                
Key.enter       Key.shift_r     Key.enter       '               /               ;               Key.backspace   .                
Key.shift       Key.shift       a               z               q               w               x               1                
A               a               Key.shift       q               z               w               s               2                
u               u               j               i               k               7               8               y                
g               g               b               h               t               v               f               y                
u               u               j               y               7               i               h               8                
s               s               d               e               x               w               c               z                
t               t               g               y               5               6               h               r                
Key.space       Key.space       n               m               ,               b               j               h                
9               9               8               0               o               i               7               u                
,               ,               m               k               .               l               j               i                
Key.space       ,               .               m               /               l               k               n                
2               2               3               q               1               w               e               a                
0               0               9               p               -               o               ;               8                
0               0               p               9               -               o               ;               =                
1               1               q               2               a               w               3               e                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
1               1               q               2               a               w               3               Key.shift        
9               9               0               o               8               i               p               l                
9               9               8               0               o               i               p               u                
9               9               0               o               p               8               i               -                
Key.space       Key.shift_r     Key.enter       /               '               .               Key.backspace   ;                
Key.shift       Key.shift       a               z               q               w               x               s                
J               j               n               m               h               u               k               i                
u               u               j               i               7               y               8               k                
l               l               o               k               ;               .               i               ,                
y               y               h               t               6               g               u               7                
Key.space       Key.space       b               n               h               v               g               m                
4               4               3               e               r               5               d               f                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
Key.shift       Key.shift       a               z               q               w               1               x                
S               s               d               w               e               x               z               a                
e               e               3               w               4               s               d               r                
p               p               ;               0               -               o               '               =                
t               t               g               y               5               r               f               6                
.               .               /               ,               l               ;               k               m                
Key.space       Key.space       b               v               n               g               h               c                
4               4               5               r               3               e               f               d                
,               ,               m               .               k               l               j               /                
Key.space       v               b               Key.space       g               n               c               h                
2               2               q               1               w               3               a               e                
0               0               9               p               o               -               ;               8                
1               1               q               2               a               w               3               Key.shift        
2               2               w               3               q               1               e               a                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
2               2               3               q               w               1               e               a                
/               /               .               '               ;               Key.shift_r     l               Key.enter        
2               2               q               w               3               1               a               e                
8               8               7               u               i               9               j               o                
/               /               .               '               Key.shift_r     ;               l               Key.enter        
9               9               0               8               o               i               p               -                
1               1               q               2               a               w               3               e                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               Key.shift_r      
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
1               1               2               q               w               a               3               e                
9               9               0               8               o               i               p               -                
8               8               7               u               i               9               j               o                
3               3               e               w               4               2               s               d                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
1               1               q               2               a               w               3               e                
/               /               .               '               Key.shift_r     ;               l               Key.enter        
2               2               q               1               w               3               a               e                
1               1               q               2               a               w               3               Key.shift        
/               /               .               '               ;               Key.shift_r     l               ,                
1               1               q               2               w               a               3               e                
9               9               0               o               8               p               i               -                
6               6               y               7               t               5               u               h                
7               7               8               u               6               y               i               j                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
4               4               3               r               e               5               d               f                
/               /               .               Key.shift_r     '               ;               l               Key.enter        
1               1               2               q               w               a               3               e                
4               4               5               r               e               3               f               t                
/               /               .               '               ;               Key.shift_r     l               ,                
1               1               q               2               a               w               3               e                
9               9               0               8               o               i               p               u                
8               8               7               u               i               9               j               y                
5               5               t               4               r               6               y               f                
Key.enter       Key.enter       Key.shift_r     '               /               ;               Key.backspace   =                
8               8               7               9               u               i               6               y                
/               /               .               '               ;               Key.shift_r     l               ,                
1               1               q               2               a               w               3               e                
1               1               q               2               a               w               3               Key.shift        
/               /               .               '               ;               l               Key.shift_r     ,                
1               1               q               2               a               w               3               e                
9               9               8               0               o               i               7               u                
8               8               9               7               i               u               o               0                
9               9               0               8               o               i               p               u                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   /               =               ;                
Key.enter       Key.enter       Key.backspace   Key.shift_r     '               =               -               p                
4               4               5               r               3               e               f               t                
4               4               3               r               e               5               d               f                
0               0               p               -               9               o               ;               =                
-               -               =               0               p               Key.backspace   '               ;                
2               2               q               1               w               3               a               e                
9               9               8               0               i               o               7               u                
Key.backspace   Key.backspace   =               -               '               Key.enter       p               0                
0               0               p               9               -               o               ;               =                
-               -               =               p               0               '               ;               Key.backspace    
7               7               8               u               i               y               6               9                
1               1               q               2               a               w               3               e                
7               7               8               u               6               y               i               j                
1               1               q               2               a               w               3               e                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
4               4               3               e               5               r               d               w                
1               6               5               y               t               7               u               r                
8               8               7               u               i               9               y               6                
-               -               =               0               p               ;               '               Key.backspace    
6               6               y               t               5               7               g               h                
6               6               y               7               t               5               u               8                
-               -               =               0               p               ;               '               Key.backspace    
8               8               9               i               7               u               o               0                
4               4               3               e               r               5               d               f                
1               1               q               2               a               w               3               e                
0               0               p               -               9               o               ;               =                
Key.enter       Key.enter       '               Key.shift_r     Key.backspace   =               p               ;                
1               1               q               2               a               w               3               e                
5               5               t               6               r               y               4               g                
6               6               y               7               t               5               u               h                
-               -               0               =               p               9               ;               o                
6               6               7               y               5               t               u               8                
4               4               3               e               r               5               d               f                
-               -               =               p               0               Key.backspace   '               ;                
6               6               y               5               t               7               u               g                
9               9               8               o               0               i               u               p                
0               0               9               o               p               -               ;               8                
5               5               6               t               r               4               y               g                
Key.enter       Key.enter       Key.shift_r     Key.backspace   '               =               /               ;                
0               0               9               p               -               o               ;               =                
2               2               w               3               q               1               e               a                
6               6               y               5               t               7               u               g                
-               -               =               p               0               ;               '               Key.backspace    
3               3               e               2               w               4               s               q                
8               8               7               9               u               i               o               j                
-               -               =               0               p               Key.backspace   ;               '                
5               5               6               t               4               r               y               f                
0               0               p               9               o               -               ;               l                
7               7               8               u               6               y               i               j                
7               7               8               u               i               6               y               9                
Key.enter       Key.enter       '               Key.shift_r     /               ;               =               p                
6               6               y               7               5               t               u               8                
0               0               -               p               9               =               o               ;                
8               8               7               u               9               i               6               y                
-               =               -               Key.backspace   p               '               0               ;                
6               6               y               5               7               t               u               h                
0               0               p               9               o               -               ;               l                
-               -               =               0               p               ;               9               '                
1               1               q               2               a               w               3               Key.shift        
4               4               3               e               r               5               d               w                
8               8               7               9               u               i               o               j                
2               2               q               1               w               3               a               e                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   /               =               ;                
0               0               9               p               o               -               ;               l                
6               6               5               y               t               7               g               u                
4               4               5               r               3               e               f               d                
-               -               =               p               0               '               ;               Key.backspace    
1               1               q               2               a               w               3               Key.shift        
4               4               5               r               3               e               f               t                
-               -               =               0               p               9               ;               o                
1               1               q               2               a               w               3               Key.shift        
9               9               8               0               o               i               u               7                
1               1               q               2               a               w               3               e                
0               0               9               p               o               -               ;               8                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
5               5               4               r               t               6               f               y                
6               6               y               7               t               5               u               h                
1               1               q               2               a               w               3               e                
-               -               =               p               0               ;               '               Key.backspace    
5               5               4               r               t               6               f               y                
7               7               6               y               u               8               t               i                
-               =               -               p               0               Key.backspace   '               ;                
0               0               -               p               9               o               ;               =                
2               2               1               q               3               w               e               a                
0               0               9               o               p               -               8               i                
2               2               q               w               3               1               a               e                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
6               6               y               t               5               7               u               g                
9               9               0               o               8               i               p               u                
0               0               9               p               -               o               ;               =                
-               -               =               p               0               '               Key.backspace   ;                
0               0               9               o               p               ;               i               l                
9               9               8               o               0               i               u               7                
-               -               =               0               p               ;               '               9                
9               9               8               0               o               i               u               7                
3               3               e               4               w               2               s               d                
1               1               2               q               w               a               3               e                
8               8               7               9               u               i               o               j                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
0               0               9               p               -               o               ;               =                
1               1               q               2               a               w               3               e                
9               9               0               o               8               i               p               -                
=               =               -               p               Key.backspace   0               '               ;                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               0                
-               -               0               p               =               9               ;               o                
0               0               9               p               -               o               ;               =                
1               1               q               2               a               w               3               Key.shift        
-               -               =               0               p               Key.backspace   ;               '                
0               -               0               p               =               9               ;               o                
5               5               6               t               4               r               y               f                
0               0               9               -               p               o               =               ;                
9               9               0               8               o               i               p               u                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
1               1               q               2               a               w               3               e                
6               6               y               7               t               5               u               8                
5               5               t               6               r               4               y               f                
-               -               =               0               p               ;               '               Key.backspace    
3               3               e               4               w               2               s               d                
8               8               7               u               9               i               o               j                
-               -               =               0               p               9               ;               '                
6               6               y               7               t               5               u               h                
0               0               p               9               o               -               ;               l                
6               6               y               7               t               u               5               8                
0               0               p               -               o               9               ;               =                
Key.enter       Key.enter       Key.shift_r     '               /               ;               Key.backspace   =                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.enter       Key.enter       Key.shift_r     Key.backspace   '               =               /               -                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.enter       Key.enter       '               Key.shift_r     Key.backspace   =               p               ;                
2               2               1               q               w               a               3               e                
0               0               9               p               o               -               ;               8                
2               2               q               1               w               3               a               e                
1               1               q               2               a               w               3               e                
Key.space       Key.space       n               m               b               h               ,               j                
Key.shift       Key.shift       a               z               q               w               s               x                
D               f               r               d               c               g               v               e                
u               u               i               j               8               7               k               y                
k               k               j               i               m               u               l               ,                
e               e               s               d               w               3               x               r                
Key.space       n               m               Key.space       ,               j               h               b                
Key.shift       Key.shift       a               q               z               1               w               2                
l               l               k               o               .               ,               ;               i                
a               a               q               w               z               Key.shift       2               s                
n               h               n               b               Key.space       g               j               y                
e               e               d               s               w               3               r               x                
,               ,               m               .               k               l               j               /                
Key.space       Key.space       n               b               h               v               m               g                
Key.shift       Key.shift       a               z               q               w               x               s                
W               w               2               e               s               3               a               q                
a               a               w               q               z               s               2               Key.shift        
y               y               t               h               g               6               u               7                
n               n               Key.space       h               b               m               j               g                
e               4               e               r               3               d               s               f                
,               ,               m               .               k               l               j               /                
Key.space       Key.space       b               n               v               h               g               m                
Key.shift       Key.shift       a               q               z               w               1               2                
N               n               Key.space       b               h               m               j               g                
J               j               k               u               m               n               i               h                
,               ,               m               .               k               l               j               n                
Key.space       Key.space       n               m               ,               b               j               h                
0               0               9               p               o               -               ;               =                
7               7               6               u               8               y               i               j                
4               4               3               e               5               r               d               w                
7               7               8               u               6               y               i               9                
7               7               6               y               8               u               t               i                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   /               =               ;                
2               2               q               w               3               1               e               a                
8               8               7               9               u               i               o               j                
4               4               3               r               e               5               d               f                
7               8               7               u               i               9               j               y                
Key.space       Key.space       b               n               v               h               g               m                
Key.shift       Key.shift       a               z               q               x               w               s                
W               e               s               w               d               3               x               a                
e               e               d               s               r               w               3               4                
x               x               s               z               d               c               e               w                
f               f               r               g               t               c               d               v                
o               o               9               0               l               i               p               ;                
r               r               f               t               5               d               4               e                
d               d               s               c               e               f               x               r                
Key.space       Key.space       b               n               v               h               g               m                
Key.shift       Key.shift       a               z               q               x               w               s                
W               w               a               s               2               e               q               3                
a               a               q               w               z               s               2               Key.shift        
y               y               6               7               u               h               t               j                
,               ,               m               k               .               l               j               i                
Key.space       Key.space       b               n               v               h               g               m                
Key.shift       Key.shift       a               z               q               w               1               s                
R               r               f               d               t               g               5               e                
o               o               l               i               9               k               0               ;                
c               d               e               s               r               f               c               x                
k               k               i               j               l               m               ,               o                
Key.space       Key.space       b               n               v               h               g               m                
Key.shift       Key.shift       a               q               z               1               w               2                
H               h               y               j               u               n               g               b                
i               i               k               o               u               j               l               8                
l               l               o               k               ;               .               i               p                
l               l               k               o               ,               ;               .               i                
,               ,               m               k               .               l               j               i                
Key.space       m               ,               Key.space       n               k               j               .                
Key.shift       Key.shift       a               z               q               x               w               s                
S               s               w               d               e               x               z               a                
c               c               x               d               s               f               z               v                
,               ,               m               .               k               l               j               /                
Key.space       v               c               b               f               g               x               Key.space        
2               2               q               1               w               3               a               e                
9               9               0               o               8               i               p               -                
7               7               8               u               i               y               6               j                
